id,movie_id,title,year,directors,casts,rating,cover,country,summary,types,lang,release_date,time,url
1167776371974,30444960,信条,2020,克里斯托弗·诺兰,"约翰·大卫·华盛顿,罗伯特·帕丁森,伊丽莎白·德比齐,肯尼思·布拉纳,亚伦·泰勒-约翰逊,迪宝·卡帕蒂娅,克蕾曼丝·波西,希米什·帕特尔,安德鲁·霍华德,尤里·科洛科利尼科夫,迈克尔·凯恩,马丁·唐文,卡里娜·韦尔瓦,乔纳森·坎普,凯蒂·麦克凯布,贝恩·科拉科,安东尼·莫利纳利,特伦特·布克斯顿,英格丽·玛格斯,瑞奇·切劳洛,劳里·谢泼德,马克·克雷尼克,亚历克斯·威克索,丹兹尔·史密斯,马塞尔·萨巴特",7.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2612061299.jpg," 美国,英国",乌克兰基辅国家歌剧院，一伙蒙面歹徒突然闯入演出大厅，挟持在场数百名音乐家和观众。未过多久，乌克兰特警部队迅速赶到，并按照既定战术突入进去。与此同时，几名神秘之人换上特警部队肩章，趁乱潜入歌剧院，救出被困的美国大使。神秘人之一的男主“无名”（约翰·大卫·华盛顿 John David Washington 饰）虽然一度顺利完成任务，却身不由己置身死地。当他再度醒来，则被告知失去原有身份，此后将加入一个名为“信条”的秘密组织，去执行一项阻止世界毁灭的重大任务。早在歌剧院时，他便见识了一次逆转子弹的奇怪现象。而如今着手的任务，似乎正与逆转的子弹乃至逆转的时间息息相关。,"剧情,动作,科幻", 英语 / 俄语 / 乌克兰语 / 爱沙尼亚语 / 印地语 / 挪威语,2020-09-04,150分钟,https://movie.douban.com/subject/30444960/
914203761131334,2268359,暮光之城,2008,凯瑟琳·哈德威克,"克里斯汀·斯图尔特,罗伯特·帕丁森,比利·伯克,阿什丽·格林尼,妮基·瑞德,泰勒·洛特纳,艾迪·盖瑟吉,迈克·韦尔奇",7.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2601335410.jpg, 美国,因为父母离异，贝拉（克里斯汀•斯图尔特 Kristen Stewart 饰）随父亲来到小镇生活。在新学校里，贝拉留意到一群举止诡异的怪人，他们特立独行，很是神秘。在实验课上，她遇到了怪人中的一个——金发帅哥爱德华（罗伯特•帕丁森 Robert Pattinson 饰），他俊朗的外形与出众的谈吐令她着迷。在交往中，贝拉渐渐对爱德华产生了感情，但其他怪人对她心存戒备。与此同时，小镇里接连发生死亡事件，贝拉的父亲是警察，负责调查此案。然而，警方的介入并没有阻止死亡威胁的蔓延。在一次意外中，爱德华救出了贝拉。从此，她发现他拥有异于常人的超能力，开始怀疑对方是杀人凶手。在事实面前，爱德华对她坦白，自己是素食吸血鬼，所以凶手另有其人。在杀人凶案的羁绊中，一场人鬼之恋由此展开……,"剧情,爱情,惊悚,奇幻", 英语,2009-11-25,122分钟,https://movie.douban.com/subject/2268359/
253953911850646,30337388,失控玩家,2021,肖恩·利维,"瑞安·雷诺兹,朱迪·科默,乔·基瑞,里尔·莱尔·哈瓦瑞,塔伊加·维迪提,乌特卡什·安邦德卡尔,查宁·塔图姆,休·杰克曼,道恩·强森,克里斯·埃文斯,约翰·卡拉辛斯基,蒂娜·菲,卡米尔·科斯塔克,布丽特妮·欧德福特,肯尼斯·以色列,亚历克斯·崔贝克,劳拉·斯宾塞,马修·卡德瑞普,迈克尔·陶,野村祐人,Raj Jawa,何塞·冈斯·阿尔维斯,欧文·伯克,加布里埃尔·洛莱斯,雷吉纳·托芬,珍妮尔·费格利,泰特·弗莱彻,香农·哈特曼,金伯利·豪威,Mark Lainer,Mike Devine,亚伦·W·里德,Sophie Levy,Vernon Scott,Naheem Garcia",7.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2576282791.jpg," 美国,加拿大",银行出纳员盖（瑞安·雷诺兹 饰）发现自己其实是开放世界电子游戏中的背景角色，于是决定成为英雄，并改写自己的故事。现在，在一个没有限制的世界里，他决心以自己的方式拯救他的世界，以免为时过晚。,"喜剧,动作,科幻", 英语,2021-08-27,115分钟,https://movie.douban.com/subject/30337388/
901154535517306,10440138,侏罗纪世界,2015,科林·特莱沃若,"克里斯·帕拉特,布莱丝·达拉斯·霍华德,文森特·多诺费奥,泰·辛普金斯,尼克·罗宾森,奥玛·希,黄荣亮,伊尔凡·可汗,朱迪·格雷尔,杰克·约翰逊,劳伦·拉普库斯,凯蒂·麦克格雷斯,布莱恩·泰,埃迪·J.费尔南德斯,因德尔·库马尔,安迪·巴克利,吉米·法伦",7.8,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2246217861.jpg, 美国,21世纪，曾经诞生过第一只恐龙的努布拉岛，在经历了一系列的惨剧之后迎来新的时代，如今这里经马斯拉尼之手建成了规模宏大的主题公园“侏罗纪世界”，数量繁多的远古生物每天都吸引数以万计的游客前来一饱眼福。为了吸引更多的游客，公司授意创意实验室采用不同动物的基因创造了集力量、速度和智慧于一体的暴虐霸王龙。作为负责人的克莱尔（布莱丝·达拉斯·霍华德 Bryce Dallas Howard 饰）原打算请专门负责迅猛龙的欧文·格雷迪（克里斯·普拉特 Chris Pratt 饰）评估暴虐霸王龙的防护设施，谁知这头可怕的怪物竟然骗过了精密仪器的监视和人类的眼睛，以迅雷不及掩耳的速度逃到了外面，随后对所见的一切生物展开了无差别的血腥屠杀。,"动作,科幻,冒险", 英语,2015-06-10,124分钟,https://movie.douban.com/subject/10440138/
626621606858344,36188869,蜡笔小新：新次元！超能力大决战,2023,大根仁,"小林由美子,楢桥美纪,森川智之,兴梠里美,真柴摩利,林玉绪,一龙斋贞友,Mizukawa Katamari,鬼头明里,松坂桃李,三石琴乃,森田顺平,七绪春日,Chie Satô,Mogura Suzuki",7.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2899530660.jpg, 日本,故事讲述住在诺斯特拉达姆斯邻镇的努斯特拉达马斯留下了一个预言：“在 20 和 23 并列的年份，天上会降下两道光芒。一道是黑暗之光，另一道是小小的白光……不久，黑暗之光就会拥有强大的力量，扰乱和平，给世界带来巨大的混乱。”,"喜剧,动画", 日语,2023-11-25,94分钟,https://movie.douban.com/subject/36188869/
464645745284045,11525673,布达佩斯大饭店,2014,韦斯·安德森,"拉尔夫·费因斯,托尼·雷沃罗利,阿德里安·布罗迪,威廉·达福,裘德·洛,爱德华·诺顿,西尔莎·罗南,蒂尔达·斯文顿,比尔·默瑞,蕾雅·赛杜,欧文·威尔逊,詹森·舒瓦兹曼,马修·阿马立克,F·默里·亚伯拉罕,汤姆·威尔金森,杰夫·高布伦,哈威·凯特尔",8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg," 美国,德国,英国",故事要从一位无名作家（裘德·洛 Jude Law 饰）说起，为了专心创作，他来到了名为“布达佩斯”的饭店，在这里，作家遇见了饭店的主人穆斯塔法（F·莫里·亚伯拉罕 F. Murray Abraham 饰），穆斯塔法邀请作家共进晚餐，席间，他向作家讲述了这座饱经风雨的大饭店的前世今生。,"剧情,喜剧,冒险", 英语 / 法语 / 德语,2014-02-06,99分钟,https://movie.douban.com/subject/11525673/
107687252301664,26575103,捉妖记2,2018,许诚毅,"梁朝伟,白百何,井柏然,李宇春,杨祐宁,大鹏,吴君如,曾志伟,黄磊,柳岩,吴莫愁,伍嘉成,赵磊,谷嘉诚,彭楚粤,陈泽希,郭子凡,肖战,焉栩嘉,夏之光,姜超,娄艺潇,张俪",4.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2509643816.jpg," 中国大陆,中国香港",上一集与胡巴分别后，天荫（井柏然 饰）带着小岚（白百何 饰）踏上寻父之路，在义薄云天的天师堂堂主云大哥（杨祐宁 饰）的帮助下，二人得知天荫父亲宋戴天的护妖轨迹；而重回永宁村的胡巴再度被妖王追杀，颠沛流离逃亡时结识大赌徒屠四谷（梁朝伟 饰）和一只妖怪，三人一起过着相依为命的生活，但又因屠四谷欠下的巨额赌债横生诸多波折。与此同时 ，江湖盛传小妖王胡巴的重金悬赏令，妖界大军、天师精英、绿林草莽闻风而动，多方势力为抢夺胡巴在清水镇掀起腥风血雨。千钧一发之际，念子心切的天荫和小岚通过天师堂找到胡巴并一起逃离险境。岂料，一场更大的惊天阴谋尾随而至，伺机而动……,"喜剧,动作,奇幻,古装", 汉语普通话,2018-02-16,110分钟,https://movie.douban.com/subject/26575103/
460643621966856,1305690,阿飞正传,1990,王家卫,"张国荣,张曼玉,刘嘉玲,刘德华,张学友,潘迪华,梁朝伟",8.5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg, 中国香港,1960年代的香港，因生母在阿飞旭仔（张国荣）长大成人过程中的缺失，他把自己优雅地比喻为“无根鸟”，对生命中遇到的每一个女人都表现得放荡不羁，售票员苏丽珍（张曼玉）和舞女咪咪（刘嘉玲）先后令他感受过温暖，可是她们也只能当当小情人。为摆脱沉重和无力感，旭仔抛下一切去南洋找寻生母。,"剧情,爱情,犯罪", 粤语 / 汉语普通话 / 英语 / 菲律宾语 / 上海话,2018-06-25,94分钟,https://movie.douban.com/subject/1305690/
68369940960433,26393561,小萝莉的猴神大叔,2015,卡比尔·汗,"萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔,纳瓦祖丁·席迪圭,欧姆·普瑞,梅·维贾,席尔帕.舒克拉,拉杰什·沙玛,沙拉蒂·瑟斯纳,阿图·斯里瓦斯塔瓦,阿德南·萨米,马诺·巴克什",8.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg, 印度,电影讲述了一个拥有虔诚宗教信仰的单纯印度男人帮助巴基斯坦哑女与父母重聚的故事。印度教教徒帕万（萨尔曼·汗 饰）在一次机缘巧合下结识了与母亲走失并有语言障碍的穆斯林小女孩沙希达（哈尔莎莉·马尔霍特 饰）。在得知沙希达是巴基斯坦人后，帕万决定帮助她回家，可在回巴基斯坦途中却四处碰壁，遭遇领事馆冲突、被旅游局欺骗之后，帕万立志将不惜一切代价尽其所能带沙希达回到自己的家乡与家人团聚。,"剧情,喜剧,动作", 印地语 / 乌尔都语,2018-03-02,159分钟,https://movie.douban.com/subject/26393561/
283512304318755,26394152,大黄蜂,2018,特拉维斯·奈特,"海莉·斯坦菲尔德,小豪尔赫·兰登伯格,约翰·塞纳,杰森·德鲁克,帕梅拉·阿德龙,斯蒂芬·施耐德,里卡多·霍约斯,约翰·奥提兹,格林·特鲁曼,兰·卡琉,格蕾丝·达斯恩妮,弗里德·杜莱尔,蓝尼·雅各布森 ,梅金·普莱斯,萨钦·巴特,蒂姆·马丁·格里森,安东尼奥·查丽蒂,艾德文·霍德吉,拉斯·斯兰德,迪伦·奥布莱恩,彼得·库伦,安吉拉·贝塞特,贾斯汀·塞洛克斯,大卫·索博洛夫,格蕾·德丽斯勒,史蒂夫·布卢姆,安德鲁·莫尔加多,威廉·W·巴伯,罗伯特·切斯纳特,米歇尔·毛,克里斯蒂安·哈切森,里克·理查森,瓦内萨·罗斯,波士顿·拉什·弗里曼,托尼·托斯特,迪娜·特鲁迪,艾蒂安·维克",7.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2541662397.jpg," 美国,中国大陆",塞博坦星内战如火如荼，在危机时刻，擎天柱将大黄蜂派往地球，等待重新建立基地的时机。此后，大黄蜂降落在1987年的加州，谁知不仅先遭到特工杰克·伯恩斯（约翰·塞纳 John Cena 饰）的围捕，更被尾随而来的霸天虎成员殴至重伤，失去了声音的同时还丧失了记忆。另一方面，正 在叛逆期的少女查莉·沃特森（海莉·斯坦菲尔德 Hailee Steinfeld 饰）阴差阳错得到了变形成大众甲壳虫的大黄蜂，双方相互试探，进而成为亲密无间的好朋友，同时也闹出了不少的笑话。好景不长，霸天虎成员粉碎和反弹球追至地球，他们先是骗取美国政府的信任，通过卫星网络找到大黄蜂的踪迹，之后更企图将霸天虎大部队召唤到这里。,"动作,科幻,冒险", 英语,2019-01-04,114分钟,https://movie.douban.com/subject/26394152/
